accord_id_primary,accord_id_secondary,note_id,blended_pct
ACC-0292,ACC-0277,NOTE-0205,3.0628
ACC-0292,ACC-0277,NOTE-0407,4.31015
ACC-0292,ACC-0277,NOTE-0465,4.5367
ACC-0292,ACC-0277,NOTE-0484,37.65
ACC-0292,ACC-0277,NOTE-0581,7.60445
ACC-0292,ACC-0277,NOTE-0625,12.6
ACC-0292,ACC-0277,NOTE-0629,12.12705
ACC-0289,ACC-0127,NOTE-0166,29.25
ACC-0289,ACC-0127,NOTE-0180,9.34765
ACC-0289,ACC-0127,NOTE-0205,16.555
ACC-0289,ACC-0127,NOTE-0303,6.90235
ACC-0289,ACC-0127,NOTE-0434,12.9558
ACC-0289,ACC-0127,NOTE-0449,4.770198
ACC-0289,ACC-0127,NOTE-0476,9.080141
ACC-0289,ACC-0127,NOTE-0489,2.99603
ACC-0289,ACC-0127,NOTE-0491,1.875319
ACC-0289,ACC-0127,NOTE-0526,6.267513
ACC-0170,ACC-0135,NOTE-0205,5.699116
ACC-0170,ACC-0135,NOTE-0449,5.0362
ACC-0170,ACC-0135,NOTE-0456,4.910899
ACC-0170,ACC-0135,NOTE-0465,1.449364
ACC-0170,ACC-0135,NOTE-0473,11.59145
ACC-0170,ACC-0135,NOTE-0475,29.25
ACC-0170,ACC-0135,NOTE-0476,3.7869
ACC-0170,ACC-0135,NOTE-0484,15.750158
ACC-0170,ACC-0135,NOTE-0496,2.562026
ACC-0170,ACC-0135,NOTE-0497,11.2138
ACC-0170,ACC-0135,NOTE-0536,8.750088
ACC-0283,ACC-0113,NOTE-0040,17.02853
ACC-0283,ACC-0113,NOTE-0094,15.649894
ACC-0283,ACC-0113,NOTE-0205,13.590714
ACC-0283,ACC-0113,NOTE-0225,12.516925
ACC-0283,ACC-0113,NOTE-0269,6.213938
ACC-0283,ACC-0113,NOTE-0465,14.0
ACC-0283,ACC-0113,NOTE-0500,7.6965
ACC-0283,ACC-0113,NOTE-0501,4.9693
ACC-0283,ACC-0113,NOTE-0502,3.4027
ACC-0283,ACC-0113,NOTE-0503,3.0898
ACC-0283,ACC-0113,NOTE-0504,1.8417
ACC-0281,ACC-0121,NOTE-0012,17.6332
ACC-0281,ACC-0121,NOTE-0039,11.07275
ACC-0281,ACC-0121,NOTE-0169,8.75
ACC-0281,ACC-0121,NOTE-0205,2.88225
ACC-0281,ACC-0121,NOTE-0269,4.84705
ACC-0281,ACC-0121,NOTE-0399,7.46005
ACC-0281,ACC-0121,NOTE-0407,23.98695
ACC-0281,ACC-0121,NOTE-0459,4.98505
ACC-0281,ACC-0121,NOTE-0465,2.6327
ACC-0281,ACC-0121,NOTE-0517,9.12345
ACC-0281,ACC-0121,NOTE-0518,6.62655
ACC-0207,ACC-0283,NOTE-0021,2.8847
ACC-0207,ACC-0283,NOTE-0040,9.169208
ACC-0207,ACC-0283,NOTE-0094,8.426866
ACC-0207,ACC-0283,NOTE-0205,10.440677
ACC-0207,ACC-0283,NOTE-0225,6.739883
ACC-0207,ACC-0283,NOTE-0269,3.345967
ACC-0207,ACC-0283,NOTE-0455,6.9537
ACC-0207,ACC-0283,NOTE-0465,2.6507
ACC-0207,ACC-0283,NOTE-0501,39.0
ACC-0207,ACC-0283,NOTE-0556,10.3883
ACC-0280,ACC-0134,NOTE-0205,19.09075
