target_accord_id_primary,target_accord_id_secondary,n
ACC-0171,ACC-0059,1
ACC-0171,ACC-0100,1
ACC-0171,ACC-0166,1
ACC-0171,ACC-0104,1
ACC-0171,ACC-0107,1
ACC-0171,ACC-0125,1
ACC-0171,ACC-0139,1
ACC-0171,ACC-0149,1
ACC-0171,ACC-0153,1
ACC-0171,ACC-0158,1
ACC-0171,ACC-0161,1
ACC-0180,ACC-0170,1
ACC-0180,ACC-0202,1
ACC-0180,ACC-0206,1
ACC-0186,ACC-0181,1
ACC-0190,ACC-0068,1
ACC-0190,ACC-0095,1
ACC-0190,ACC-0112,1
ACC-0190,ACC-0122,1
ACC-0190,ACC-0132,1
ACC-0190,ACC-0151,1
ACC-0190,ACC-0168,1
ACC-0221,ACC-0033,1
ACC-0190,ACC-0187,1
ACC-0190,ACC-0202,1
ACC-0190,ACC-0206,1
ACC-0190,ACC-0209,1
ACC-0190,ACC-0239,1
ACC-0190,ACC-0263,1
ACC-0190,ACC-0280,1
ACC-0191,ACC-0055,1
ACC-0191,ACC-0090,1
ACC-0191,ACC-0112,1
ACC-0191,ACC-0124,1
ACC-0190,ACC-0022,1
ACC-0189,ACC-0287,1
ACC-0188,ACC-0170,1
ACC-0187,ACC-0149,1
ACC-0186,ACC-0284,1
ACC-0186,ACC-0287,1
ACC-0186,ACC-0291,1
ACC-0186,ACC-0295,1
ACC-0187,ACC-0077,1
ACC-0187,ACC-0111,1
ACC-0187,ACC-0123,1
ACC-0187,ACC-0144,1
ACC-0187,ACC-0153,1
ACC-0188,ACC-0090,1
ACC-0187,ACC-0170,1
ACC-0187,ACC-0178,1
ACC-0187,ACC-0179,1
ACC-0187,ACC-0181,1
ACC-0187,ACC-0233,1
ACC-0187,ACC-0251,1
ACC-0187,ACC-0287,1
ACC-0187,ACC-0299,1
ACC-0191,ACC-0144,1
ACC-0191,ACC-0147,1
ACC-0191,ACC-0162,1
ACC-0195,ACC-0075,1
ACC-0194,ACC-0150,1
ACC-0194,ACC-0172,1
ACC-0194,ACC-0193,1
ACC-0194,ACC-0275,1
ACC-0194,ACC-0278,1
ACC-0194,ACC-0285,1
ACC-0194,ACC-0287,1
ACC-0194,ACC-0295,1
ACC-0195,ACC-0077,1
ACC-0194,ACC-0104,1
ACC-0195,ACC-0131,1
ACC-0195,ACC-0159,1
ACC-0195,ACC-0161,1
ACC-0195,ACC-0207,1
ACC-0195,ACC-0227,1
ACC-0195,ACC-0233,1
ACC-0195,ACC-0263,1
ACC-0195,ACC-0266,1
ACC-0194,ACC-0127,1
ACC-0194,ACC-0102,1
ACC-0191,ACC-0172,1
ACC-0193,ACC-0055,1
ACC-0191,ACC-0193,1
ACC-0191,ACC-0210,1
ACC-0191,ACC-0258,1
ACC-0191,ACC-0282,1
ACC-0191,ACC-0283,1
ACC-0192,ACC-0170,1
ACC-0192,ACC-0247,1
ACC-0193,ACC-0007,1
ACC-0193,ACC-0059,1
ACC-0194,ACC-0063,1
ACC-0193,ACC-0063,1
ACC-0193,ACC-0080,1
ACC-0193,ACC-0118,1
ACC-0193,ACC-0143,1
ACC-0193,ACC-0174,1
ACC-0193,ACC-0190,1
ACC-0193,ACC-0195,1
ACC-0193,ACC-0251,1
ACC-0186,ACC-0200,1
ACC-0186,ACC-0165,1
ACC-0180,ACC-0280,1
ACC-0186,ACC-0150,1
ACC-0182,ACC-0007,1
ACC-0182,ACC-0063,1
ACC-0182,ACC-0107,1
ACC-0182,ACC-0118,1
ACC-0182,ACC-0140,1
ACC-0182,ACC-0149,1
ACC-0182,ACC-0160,1
ACC-0182,ACC-0196,1
ACC-0182,ACC-0207,1
ACC-0182,ACC-0209,1
ACC-0182,ACC-0284,1
ACC-0183,ACC-0059,1
ACC-0183,ACC-0075,1
ACC-0183,ACC-0102,1
ACC-0183,ACC-0107,1
ACC-0183,ACC-0108,1
ACC-0183,ACC-0112,1
ACC-0183,ACC-0141,1
ACC-0183,ACC-0156,1
ACC-0181,ACC-0284,1
ACC-0181,ACC-0280,1
ACC-0181,ACC-0277,1
ACC-0181,ACC-0153,1
ACC-0181,ACC-0008,1
ACC-0181,ACC-0102,1
ACC-0181,ACC-0107,1
ACC-0181,ACC-0112,1
ACC-0181,ACC-0118,1
ACC-0181,ACC-0125,1
ACC-0181,ACC-0134,1
ACC-0181,ACC-0142,1
ACC-0181,ACC-0156,1
ACC-0181,ACC-0267,1
ACC-0181,ACC-0167,1
ACC-0181,ACC-0168,1
ACC-0181,ACC-0205,1
ACC-0181,ACC-0207,1
ACC-0181,ACC-0213,1
ACC-0181,ACC-0229,1
ACC-0181,ACC-0258,1
ACC-0181,ACC-0259,1
ACC-0183,ACC-0159,1
ACC-0183,ACC-0170,1
ACC-0183,ACC-0250,1
ACC-0185,ACC-0163,1
ACC-0184,ACC-0292,1
ACC-0184,ACC-0293,1
ACC-0185,ACC-0028,1
ACC-0185,ACC-0058,1
ACC-0185,ACC-0112,1
ACC-0185,ACC-0125,1
ACC-0185,ACC-0127,1
ACC-0185,ACC-0145,1
ACC-0185,ACC-0165,1
ACC-0184,ACC-0258,1
ACC-0185,ACC-0187,1
ACC-0185,ACC-0199,1
ACC-0185,ACC-0264,1
ACC-0185,ACC-0267,1
ACC-0185,ACC-0277,1
ACC-0185,ACC-0285,1
ACC-0186,ACC-0055,1
ACC-0186,ACC-0107,1
ACC-0184,ACC-0283,1
ACC-0184,ACC-0239,1
ACC-0183,ACC-0253,1
ACC-0184,ACC-0127,1
