note_id,note_name,normalized_note_name,chemical_family,odor_family
NOTE-0211,Jasmine Sambac,jasmine_sambac,,
NOTE-0212,Jasmine Tea,jasmine_tea,,
NOTE-0213,Java vetiver oil,java_vetiver_oil,,
NOTE-0214,Juniper,juniper,,
NOTE-0215,Juniper Berries,juniper_berries,,
NOTE-0216,Kiwi,kiwi,,
NOTE-0217,Kulfi,kulfi,,
NOTE-0218,Kulfi Accord,kulfi_accord,,
NOTE-0219,Kumquat,kumquat,,
NOTE-0221,Lavandin,lavandin,,
NOTE-0223,Leather,leather,,
NOTE-0224,Leather Accord,leather_accord,Aromatic Blend,Leather / Smoky
NOTE-0226,Lemon Verbena,lemon_verbena,,
NOTE-0227,Lemon Zest,lemon_zest,,
NOTE-0228,Lentisque,lentisque,,
NOTE-0229,Licorice,licorice,,
NOTE-0230,Light Woods,light_woods,,
NOTE-0231,Lilac,lilac,,
NOTE-0232,Lily,lily,,
NOTE-0234,Lime,lime,Terpene,Citrus / Sharp
NOTE-0235,Limoncello,limoncello,,
NOTE-0236,Liquor,liquor,,
NOTE-0237,Liquor Accord,liquor_accord,,
NOTE-0238,Litchi,litchi,,
NOTE-0239,Lorenox,lorenox,,
NOTE-0240,Lotus,lotus,Terpenoid,Floral / Aquatic
NOTE-0241,Lotus Wood,lotus_wood,,
NOTE-0242,Mace,mace,,
NOTE-0243,Madagascar Pepper,madagascar_pepper,,
NOTE-0244,Madagascar Vanilla,madagascar_vanilla,,
NOTE-0245,Magnolia,magnolia,,
NOTE-0246,Mandarin,mandarin,Terpene,Citrus / Sweet
NOTE-0247,Mandarin Leaf,mandarin_leaf,,
NOTE-0248,Mandarin Orange,mandarin_orange,,
NOTE-0249,Marine Notes,marine_notes,,
NOTE-0250,Marjoram,marjoram,,
NOTE-0251,Marshmallow,marshmallow,,
NOTE-0252,Mastic,mastic,,
NOTE-0253,Mastic or Lentisque,mastic_or_lentisque,,
NOTE-0254,Mate,mate,,
NOTE-0255,May Rose,may_rose,,
NOTE-0256,Melon,melon,,
NOTE-0257,Metallic notes,metallic_notes,,
NOTE-0258,Mexican chocolate,mexican_chocolate,,
NOTE-0259,Mignonette,mignonette,,
NOTE-0260,Milk,milk,,
NOTE-0261,Milk Chocolate,milk_chocolate,,
NOTE-0262,Mimosa,mimosa,Aromatic Aldehyde,Floral / Powdery
NOTE-0263,Mineral Notes,mineral_notes,,
NOTE-0264,Mint,mint,Terpene Alcohol,Aromatic / Fresh
NOTE-0265,Mixed Spices,mixed_spices,,
NOTE-0266,Mojito,mojito,,
NOTE-0267,Moroccan Jasmine,moroccan_jasmine,,
NOTE-0268,Moss,moss,,
NOTE-0270,Myrhh,myrhh,,
NOTE-0271,Myrrh,myrrh,Resin,Balsamic / Smoky
NOTE-0272,Myrtle,myrtle,,
NOTE-0273,Mysore Sandalwood,mysore_sandalwood,,
NOTE-0274,Narcissus,narcissus,,
NOTE-0275,Neroli,neroli,Terpenoid Alcohol,Floral / Citrus
NOTE-0276,Night blooming Cereus,night_blooming_cereus,,
NOTE-0277,Nutmeg,nutmeg,Phenylpropanoid,Spicy / Warm
NOTE-0278,Oak,oak,,
NOTE-0279,oak moss,oak_moss,,
NOTE-0280,Oakmoss,oakmoss,Aromatic Phenol,Mossy / Earthy
NOTE-0281,Olibanum,olibanum,,
NOTE-0282,Olive Tree,olive_tree,,
NOTE-0283,Opopanax,opopanax,,
NOTE-0285,Orange,orange,,
NOTE-0286,Orange Blossom,orange_blossom,Aromatic Ester,White Floral
NOTE-0287,Orange Flower,orange_flower,,
NOTE-0288,Orange Honey,orange_honey,,
NOTE-0289,Orange Peel,orange_peel,,
NOTE-0290,Orchid,orchid,,
NOTE-0291,Oregano,oregano,Phenol,Spicy / Herbal
NOTE-0292,Orris,orris,,
NOTE-0293,Orris Root,orris_root,,
NOTE-0294,Osmanthus,osmanthus,Ketone / Lactone,Floral / Fruity
NOTE-0295,Oud,oud,,
NOTE-0297,Ozonic Notes,ozonic_notes,,
NOTE-0298,Papaya,papaya,,
NOTE-0299,Paprika,paprika,,
NOTE-0300,Papyrus,papyrus,Terpenoid,Woody / Dry
NOTE-0301,Patchouli,patchouli,Sesquiterpene Alcohol,Woody / Earthy
NOTE-0302,Peach,peach,Lactone,Fruity / Creamy
NOTE-0304,Pear Blossom,pear_blossom,,
NOTE-0305,Pelargonium,pelargonium,,
NOTE-0307,Pepper,pepper,,
NOTE-0308,Pepperwood,pepperwood,,
NOTE-0310,Petalia,petalia,,
NOTE-0311,Petitgrain,petitgrain,Terpenoid Ester,Green / Citrus
NOTE-0312,Pimento,pimento,,
NOTE-0313,Pimento Berry,pimento_berry,,
NOTE-0314,Pine,pine,Terpene,Green / Resinous
NOTE-0315,Pine Needles,pine_needles,,
NOTE-0316,Pine Resin,pine_resin,,
NOTE-0317,Pine Tree,pine_tree,,
NOTE-0318,Pineapple,pineapple,Ester,Fruity / Tropical
NOTE-0320,Plum,plum,Lactone,Fruity / Sweet
NOTE-0321,Pomegranate,pomegranate,,
NOTE-0322,Powdery Notes,powdery_notes,,
NOTE-0323,Praline,praline,,
NOTE-0324,Precious Woods,precious_woods,,
NOTE-0325,Pure Oud,pure_oud,,
NOTE-0326,Rangoon Creeper,rangoon_creeper,,
NOTE-0328,Red Apple,red_apple,,
NOTE-0329,Red Berries,red_berries,,
NOTE-0330,Red Fruits,red_fruits,,
NOTE-0331,Red Lily,red_lily,,
NOTE-0332,Red Pepper,red_pepper,,
NOTE-0333,Red Pepper Berries,red_pepper_berries,,
NOTE-0334,Resin,resin,,
NOTE-0335,Resins,resins,,
NOTE-0336,Rhubarb,rhubarb,,
NOTE-0337,Rhuburb,rhuburb,,
NOTE-0339,Rose Centifolia,rose_centifolia,,
NOTE-0340,Rose de Mai,rose_de_mai,,
NOTE-0341,Rose Geranium Leaf,rose_geranium_leaf,,
NOTE-0342,Rose Oil,rose_oil,,
NOTE-0343,Rose Petals,rose_petals,,
NOTE-0345,Rosewood,rosewood,,
NOTE-0346,Rum,rum,,
NOTE-0347,Rum Accord,rum_accord,,
NOTE-0348,Russian Tea,russian_tea,,
NOTE-0350,Sage,sage,Terpenoid Ketone,Aromatic / Herbal
NOTE-0351,Salt,salt,,
NOTE-0352,Sand,sand,,
NOTE-0353,Sandalowood,sandalowood,,
NOTE-0355,Sea Notes,sea_notes,,
NOTE-0356,Sea Salt,sea_salt,,
NOTE-0357,Sea Salt Accord,sea_salt_accord,,
NOTE-0358,Sea Spray Accord,sea_spray_accord,,
NOTE-0359,Sea water,sea_water,,
NOTE-0360,Seaweed,seaweed,,
NOTE-0361,Seaweed Accord,seaweed_accord,,
NOTE-0362,Sesame,sesame,,
NOTE-0363,Siam Benzoin,siam_benzoin,,
NOTE-0364,Sichuan Pepper,sichuan_pepper,,
NOTE-0365,Sicilian Lemon,sicilian_lemon,,
NOTE-0366,Sicilian Orange,sicilian_orange,,
NOTE-0367,Silk Tree blossom,silk_tree_blossom,,
NOTE-0368,Smoke,smoke,,
NOTE-0369,Soft Woods,soft_woods,,
NOTE-0370,Soil Tincture,soil_tincture,,
NOTE-0371,Spice,spice,,
NOTE-0372,Spices,spices,,
NOTE-0373,Spicy Notes,spicy_notes,,
NOTE-0374,Star Anise,star_anise,,
NOTE-0376,Styrax,styrax,Resin,Amber / Balsamic
NOTE-0377,Suede,suede,,
NOTE-0378,Suede Accord,suede_accord,,
NOTE-0379,Sugar,sugar,,
NOTE-0380,Sweet Orange,sweet_orange,,
NOTE-0381,Sweet Pea,sweet_pea,,
NOTE-0382,Tahitian Vetiver,tahitian_vetiver,,
NOTE-0383,Tangerine,tangerine,,
